Year,Title,Instructor,Credits,Actual,Capacity
19SP,Jazz Chamber Ensemble I,Coyle Brian R.,0,0,4
19SP,Jazz Chamber Ensemble II,Roberts Nathaniel J.,.5,1,4
19SP,Jazz Chamber Ensemble II,Roberts Nathaniel J.,0,1,4
19SP,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,2,4
19SP,Jazz Chamber Ensemble III,Talaga Stephen C.,0,1,4
19SP,Jazz Chamber Ensemble IV,Shoup Jeffrey A.,.5,2,4
19SP,Jazz Chamber Ensemble IV,Shoup Jeffrey A.,0,1,4
19SP,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,1,4
19SP,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,0,4
19SP,Chamber Music,Coyle Brian R.,.5,0,4
19SP,Chamber Music,Coyle Brian R.,0,0,10
19SP,Flute Choir,Sooy Julie A.,.5,0,12
19SP,Flute Choir,Sooy Julie A.,0,1,12
19SP,Jazz Organ Combo,Staff,.5,0,0
19SP,Jazz Organ Combo,Staff,0,0,0
19SP,String Chamber Music,Craioveanu Mihai D.,.5,3,4
19SP,String Chamber Music,Craioveanu Mihai D.,0,1,10
19SP,Saxophone Quartet,Staff TBA,.5,0,10
19SP,Saxophone Quartet,Staff TBA,0,0,10
19SP,12th Street Harmony,Staff TBA,.5,0,10
19SP,12th Street Harmony,Staff TBA,0,0,10
19SP,Luminescence,Staff TBA,.5,1,10
19SP,Luminescence,Staff TBA,0,3,10
19SP,Collaborative Piano,Le Andrew C.,.5,0,10
19SP,Collaborative Piano,Le Andrew C.,0,0,10
19SP,Harp Ensemble,Waldvogel-Warren Martha,.5,0,4
19SP,Harp Ensemble,Waldvogel-Warren Martha,0,0,4
19SP,Woodwind Quintet,Southard Sarah,.5,0,4
19SP,Woodwind Quintet,Southard Sarah,0,0,5
19SP,Folk Mus Ensmble I:Appalachian,Staff,.5,0,0
19SP,Folk Mus Ensmble I:Appalachian,Staff,0,0,0
19SP,Folk Music Ensemble II: Celtic,Staff,.5,0,0
19SP,Folk Music Ensemble II: Celtic,Staff,0,0,0
19SP,Collaborative Voice,Staff TBA,.5,0,10
19SP,Collaborative Voice,Staff TBA,0,0,10
19SP,Woodwind Chamber Ensemble,Southard Sarah,.5,0,5
19SP,Woodwind Chamber Ensemble,Southard Sarah,0,0,5
19SP,Drum Choir,Shoup Jeffrey A.,.5,0,10
19SP,Drum Choir,Shoup Jeffrey A.,0,0,10
19SP,Folk Ensemble III,Staff,.5,0,0
19SP,Folk Ensemble III,Staff,0,0,0
19SP,Flute,Southard Robert G.,1,4,12
19SP,Flute,Southard Robert G.,2,2,10
19SP,Flute,Southard Robert G.,3,0,15
19SP,Flute,Sooy Julie A.,1,2,12
19SP,Oboe,Southard Sarah,1,3,12
19SP,Oboe,Southard Sarah,2,0,10
19SP,Oboe,Southard Sarah,3,1,5
19SP,Clarinet,Schekman Joel W.,1,5,12
19SP,Clarinet,Schekman Joel W.,2,1,10
19SP,Clarinet,Schekman Joel W.,3,0,4
19SP,Saxophone,Staff TBA,1,0,10
19SP,Saxophone,Staff TBA,2,0,10
19SP,Saxophone,Staff TBA,3,0,5
19SP,Jazz Saxophone,Lockwood Thomas E.,1,2,10
19SP,Jazz Saxophone,Lockwood Thomas E.,2,1,10
19SP,Jazz Saxophone,Lockwood Thomas E.,3,0,5
19SP,Bassoon,Reilly Hannah P.,1,1,12
19SP,Bassoon,Reilly Hannah P.,2,0,5
19SP,Bassoon,Reilly Hannah P.,3,0,4
19SP,Horn,Bassett Gregory E.,1,1,12
19SP,Horn,Bassett Gregory E.,2,0,5
19SP,Horn,Bassett Gregory E.,3,0,4
19SP,Trumpet,Ruffer Jonathan D.,1,7,12
19SP,Trumpet,Ruffer Jonathan D.,2,0,10
19SP,Trumpet,Ruffer Jonathan D.,3,0,4
19SP,Jazz Trumpet,Coyle Brian R.,1,1,12
19SP,Jazz Trumpet,Coyle Brian R.,2,0,10
19SP,Jazz Trumpet,Coyle Brian R.,3,0,4
19SP,Trombone/Euphonium,Graham Adam E.,1,1,12
19SP,Trombone/Euphonium,Graham Adam E.,2,0,5
19SP,Trombone/Euphonium,Graham Adam E.,3,0,4
19SP,Jazz Trombone,Graham Adam E.,1,0,12
19SP,Jazz Trombone,Graham Adam E.,2,0,10
19SP,Jazz Trombone,Graham Adam E.,3,0,6
19SP,Baritone/Euphonium,Graham Adam E.,1,0,12
19SP,Baritone/Euphonium,Graham Adam E.,2,0,5
19SP,Baritone/Euphonium,Graham Adam E.,3,0,4
19SP,Tuba,Graham Adam E.,1,0,12
19SP,Tuba,Graham Adam E.,2,0,5
19SP,Tuba,Graham Adam E.,3,0,4
19SP,Percussion,Fashun Christopher H.,1,0,12
19SP,Percussion,Fashun Christopher H.,2,1,5
19SP,Percussion,Fashun Christopher H.,3,0,4
19SP,Drumset,Shoup Jeffrey A.,1,2,12
19SP,Drumset,Shoup Jeffrey A.,2,0,10
19SP,Drumset,Shoup Jeffrey A.,3,1,5
19SP,Harp,Waldvogel-Warren Martha,1,0,10
19SP,Harp,Waldvogel-Warren Martha,2,0,5
19SP,Harp,Waldvogel-Warren Martha,3,0,5
19SP,Violin,Craioveanu Mihai D.,1,5,10
19SP,Violin,Craioveanu Mihai D.,2,0,10
19SP,Violin,Craioveanu Mihai D.,3,2,8
19SP,Viola,Corbato Barbara,1,5,10
19SP,Viola,Corbato Barbara,2,0,6
19SP,Viola,Corbato Barbara,3,0,5
19SP,Cello,Eppinga Alicia A.,1,4,12
19SP,Cello,Eppinga Alicia A.,2,0,10
19SP,Cello,Eppinga Alicia A.,3,2,8
19SP,String Bass,Hovnanian Michael A.,1,2,10
19SP,String Bass,Hovnanian Michael A.,2,0,5
19SP,String Bass,Hovnanian Michael A.,3,0,10
19SP,Jazz & Contemporary Bass,Lockwood Thomas E.,1,1,12
19SP,Jazz & Contemporary Bass,Lockwood Thomas E.,2,0,10
19SP,Jazz & Contemporary Bass,Lockwood Thomas E.,3,0,6
19SP,Organ,Lewis Huw R.,1,0,10
19SP,Organ,Lewis Huw R.,2,0,10
19SP,Organ,Lewis Huw R.,3,1,10
19SP,Jazz Organ,Monaco Anthony G.,1,4,12
19SP,Jazz Organ,Monaco Anthony G.,2,0,10
19SP,Jazz Organ,Monaco Anthony G.,3,0,5
19SP,Piano,Le Andrew C.,1,1,20
19SP,Piano,Le Andrew C.,2,1,10
19SP,Piano,Le Andrew C.,3,3,15
19SP,Piano,Kolean Lora L.,1,5,10
19SP,Piano,Kolean Lora L.,2,1,10
19SP,Piano,Kolean Lora L.,3,2,5
19SP,Harpsichord,Lewis Huw R.,1,1,10
19SP,Harpsichord,Lewis Huw R.,2,0,10
19SP,Harpsichord,Lewis Huw R.,3,0,5
19SP,Contemporary & Jazz Piano,Talaga Stephen C.,1,2,10
19SP,Contemporary & Jazz Piano,Talaga Stephen C.,2,0,10
19SP,Contemporary & Jazz Piano,Talaga Stephen C.,3,0,5
19SP,Guitar,Martin David J.,1,16,30
19SP,Guitar,Martin David J.,2,0,5
19SP,Guitar,Martin David J.,3,0,5
19SP,Banjo,Roberts Nathaniel J.,1,2,15
19SP,Banjo,Roberts Nathaniel J.,2,0,10
19SP,Banjo,Roberts Nathaniel J.,3,1,5
19SP,Contemporary & Jazz Guitar,Roberts Nathaniel J.,1,2,30
19SP,Contemporary & Jazz Guitar,Roberts Nathaniel J.,2,0,10
19SP,Contemporary & Jazz Guitar,Roberts Nathaniel J.,3,0,15
19SP,Mandolin,Roberts Nathaniel J.,1,1,15
19SP,Mandolin,Roberts Nathaniel J.,2,0,10
19SP,Mandolin,Roberts Nathaniel J.,3,0,5
19SP,Voice,Kim JungWoo,1,6,20
19SP,Voice,Kim JungWoo,2,3,10
19SP,Voice,Kim JungWoo,3,2,20
19SP,Voice,Dykstra Linda L.,1,2,20
19SP,Voice,Dykstra Linda L.,2,1,10
19SP,Voice,Dykstra Linda L.,3,3,20
19SP,Voice,Staff TBA,1,0,20
19SP,Voice,Staff TBA,2,0,10
19SP,Voice,Staff TBA,3,0,10
19SP,Voice,Pilon Sherri L.,1,11,20
19SP,Voice,Pilon Sherri L.,2,1,10
19SP,Voice,Pilon Sherri L.,3,1,20
19SP,Voice,Penning Koperski Diane,1,5,20
19SP,Contemporary & Jazz Voice,Staff TBA,1,0,9
19SP,Contemporary & Jazz Voice,Staff TBA,2,0,10
19SP,Contemporary & Jazz Voice,Staff TBA,3,0,5
19SP,Applied Composition,Talaga Stephen C.,2,2,12
19SP,Applied Composition,Talaga Stephen C.,3,0,12
19SP,Applied Computer Music,Elliot Drew I.,2,0,12
19SP,Applied Computer Music,Elliot Drew I.,3,4,12
19SP,Piano Class Beginning,Kolean Lora L.,2,14,14
19SP,Piano Class Beginning,Strouf Linda K.,2,14,14
19SP,Piano Class Beginning,Strouf Linda K.,2,14,14
19SP,Voice Class Beginning,Pilon Sherri L.,1,2,12
19SP,Voice Class Intermediate,Staff,2,0,0
19SP,Theory IV,Staff,4,0,0
19SP,Aural Skills IV,Staff,1,0,0
19SP,Aural Skills IV,Staff,1,0,0
19SP,Diction for Singers I,Staff,1,0,0
19SP,Digital Audio Seminar,Elliot Drew I.,4,10,10
19SP,Keyboard Skills I: Piano,Staff,1,0,0
19SP,Keyboard Skills II: Piano,Staff,1,0,0
19SP,Keyboard Skills II: Organ,Lewis Huw R.,1,1,10
19SP,Keyboard Skills II: Piano,Kolean Lora L.,1,2,10
19SP,Ind Study: Advanced Recording,Munch Jean-Yves,  1-4,0,10
19SP,Independent Study,Elliot Drew I.,  1-4,0,10
19SP,Independent Study,Staff,  1-4,0,0
15FA,Pending Audition - Piano,Le Andrew C.,  2/3,0,50
15FA,Pending Audition - Voice,Dykstra Linda L.,  2/3,0,50
15FA,Concert Attendance,Waterstone Kathy A.,0,59,100
15FA,Introduction to Music,Kim JungWoo,4,28,35
15FA,Introduction to Music,Lewis Huw R.,4,33,35
15FA,Introduction to Music,Leach James D.,4,35,35
15FA,Introduction to Music,Craioveanu Mihai D.,4,15,35
15FA,Perspectives in Music,Hornbach Christina M.,4,9,10
15FA,World Music,Sooy Julie A.,4,35,35
15FA,Survey of Jazz,Coyle Brian R.,4,35,35
15FA,Survey of Jazz,Talaga Stephen C.,4,40,35
15FA,Theory I,Hodson Robert D.,4,8,20
15FA,Theory I,Hodson Robert D.,4,13,20
15FA,Aural Skills I,Wolfe Jennifer A.,1,10,20
15FA,Aural Skills I,Wolfe Jennifer A.,1,8,20
15FA,Chapel Choir,Richmond Brad W.,1,13,25
15FA,Chapel Choir,Richmond Brad W.,0,24,25
15FA,College Chorus,Richmond Brad W.,1,46,50
15FA,College Chorus,Richmond Brad W.,0,23,50
15FA,Women's Chamber Choir,Wolfe Jennifer A.,1,11,30
15FA,Women's Chamber Choir,Wolfe Jennifer A.,0,9,30
15FA,Orchestra,Fashun Christopher H.,1,8,30
15FA,Orchestra,Fashun Christopher H.,0,21,30
15FA,Orchestra,Fashun Christopher H.,1,4,30
15FA,Orchestra,Fashun Christopher H.,0,11,30
15FA,Wind Ensemble,Southard Robert G.,1,14,30
15FA,Wind Ensemble,Southard Robert G.,0,27,30
15FA,Concert Band,Southard Robert G.,1,15,30
15FA,Concert Band,Southard Robert G.,0,19,30
15FA,Jazz Arts Collective,Coyle Brian R.,1,2,20
15FA,Jazz Arts Collective,Coyle Brian R.,0,9,15
15FA,Collegium Musicum - Vocal,DeBoer James R.,1,6,15
15FA,Collegium Musicum - Vocal,DeBoer James R.,0,13,15
15FA,Jazz Chamber Ensemble I,Coyle Brian R.,.5,3,4
15FA,Jazz Chamber Ensemble I,Coyle Brian R.,0,4,4
15FA,Jazz Chamber Ensemble II,Hodson Robert D.,.5,0,4
15FA,Jazz Chamber Ensemble II,Hodson Robert D.,0,4,4
15FA,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,1,4
15FA,Jazz Chamber Ensemble III,Talaga Stephen C.,0,2,4
15FA,Jazz Chamber Ensemble IV,Van Lente Michael J.,.5,2,4
15FA,Jazz Chamber Ensemble IV,Van Lente Michael J.,0,3,4
15FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,1,4
15FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,3,4
15FA,Jazz Education Ensemble,Coyle Brian R.,.5,2,5
15FA,Jazz Education Ensemble,Coyle Brian R.,0,2,5
15FA,Flute Choir,Sooy Julie A.,.5,3,12
15FA,Flute Choir,Sooy Julie A.,0,4,12
15FA,Jazz Combo,Monaco Anthony G.,.5,1,12
15FA,Jazz Combo,Monaco Anthony G.,0,1,12
15FA,Collaborative Voice,Dykstra Linda L.,.5,0,12
15FA,Collaborative Voice,Dykstra Linda L.,0,2,12
15FA,Chamber Music,Craioveanu Mihai D.,.5,1,4
15FA,Chamber Music,Craioveanu Mihai D.,0,10,4
15FA,Collaborative Piano,Le Andrew C.,.5,0,4
15FA,Collaborative Piano,Le Andrew C.,0,2,4
15FA,Brazilian Drumming,Fashun Christopher H.,.5,2,15
15FA,Brazilian Drumming,Fashun Christopher H.,0,8,15
15FA,12th Street Harmony,Richmond Brad W.,.5,0,12
15FA,12th Street Harmony,Richmond Brad W.,0,3,12
15FA,Luminescence,Richmond Brad W.,.5,1,12
15FA,Luminescence,Richmond Brad W.,0,8,12
15FA,Saxophone Quartet,Briggs John A.,.5,0,4
15FA,Saxophone Quartet,Briggs John A.,0,4,4
15FA,Woodwind Quintet,Southard Sarah,.5,0,5
15FA,Woodwind Quintet,Southard Sarah,0,5,5
15FA,Harp Ensemble,Waldvogel-Warren Martha,.5,0,5
15FA,Harp Ensemble,Waldvogel-Warren Martha,0,2,5
15FA,Woodwind Chamber Ensemble,Southard Sarah,.5,0,4
15FA,Woodwind Chamber Ensemble,Southard Sarah,0,5,4
15FA,Woodwind Quintet,Southard Robert G.,.5,1,5
15FA,Woodwind Quintet,Southard Robert G.,0,4,5
15FA,Percussion Ensemble,Staff,.5,0,0
15FA,Percussion Ensemble,Staff,0,0,0
15FA,Folk Music Ensemble I,Roberts Nathaniel J.,.5,2,10
15FA,Folk Music Ensemble I,Roberts Nathaniel J.,0,3,10
15FA,Folk Music Ensemble II,Roberts Nathaniel J.,.5,2,10
15FA,Folk Music Ensemble II,Roberts Nathaniel J.,0,4,10
15FA,Brass Ensemble,Staff,.5,0,0
15FA,Brass Ensemble,Staff,0,0,0
15FA,Guitar Ensemble,Martin David J.,.5,1,10
15FA,Guitar Ensemble,Martin David J.,0,4,10
15FA,Flute,Sooy Julie A.,2,3,12
15FA,Flute,Southard Robert G.,2,2,10
15FA,Flute,Southard Robert G.,3,2,15
15FA,Oboe,Southard Sarah,2,2,12
15FA,Oboe,Southard Sarah,2,2,10
15FA,Oboe,Southard Sarah,3,0,5
15FA,Clarinet,Schekman Joel W.,2,4,12
15FA,Clarinet,Schekman Joel W.,2,1,10
15FA,Clarinet,Schekman Joel W.,3,1,4
15FA,Saxophone,Briggs John A.,2,3,12
15FA,Saxophone,Briggs John A.,2,2,10
15FA,Saxophone,Briggs John A.,3,0,5
15FA,Jazz Saxophone,Lockwood Thomas E.,2,2,12
15FA,Jazz Saxophone,Lockwood Thomas E.,2,0,10
15FA,Jazz Saxophone,Lockwood Thomas E.,3,1,5
15FA,Bassoon,Beaulieu Genevieve L.,2,1,12
15FA,Bassoon,Beaulieu Genevieve L.,2,1,10
15FA,Bassoon,Beaulieu Genevieve L.,3,1,5
15FA,Horn,French Keith A.,2,3,12
15FA,Horn,French Keith A.,2,0,10
15FA,Horn,French Keith A.,3,0,5
15FA,Trumpet,Smitter Pamela K.,2,1,12
15FA,Trumpet,Smitter Pamela K.,2,1,10
15FA,Trumpet,Smitter Pamela K.,3,0,5
15FA,Jazz Trumpet,Coyle Brian R.,2,1,12
15FA,Jazz Trumpet,Coyle Brian R.,2,0,10
15FA,Jazz Trumpet,Coyle Brian R.,3,0,6
15FA,Trombone/Euphonium,Graham Adam E.,2,0,12
15FA,Trombone/Euphonium,Graham Adam E.,2,0,10
15FA,Trombone/Euphonium,Graham Adam E.,3,1,5
15FA,Jazz Trombone,Staff,2,0,0
15FA,Jazz Trombone,Staff,2,0,0
15FA,Jazz Trombone,Staff,3,0,0
15FA,Tuba,Graham Adam E.,2,1,12
15FA,Tuba,Graham Adam E.,2,0,10
15FA,Tuba,Graham Adam E.,3,0,5
15FA,Percussion,Secor Gregory,2,1,12
15FA,Percussion,Secor Gregory,2,1,10
15FA,Percussion,Secor Gregory,3,0,5
15FA,Drumset,Van Lente Michael J.,2,5,20
15FA,Drumset,Van Lente Michael J.,2,0,10
15FA,Drumset,Van Lente Michael J.,3,0,5
15FA,Harp,Waldvogel-Warren Martha,2,2,12
15FA,Harp,Waldvogel-Warren Martha,2,0,10
15FA,Harp,Waldvogel-Warren Martha,3,0,5
15FA,Violin,Craioveanu Mihai D.,2,3,12
15FA,Violin,Craioveanu Mihai D.,2,4,10
15FA,Violin,Craioveanu Mihai D.,3,3,5
15FA,Viola,Corbato Barbara,2,4,12
15FA,Viola,Corbato Barbara,2,0,10
15FA,Viola,Corbato Barbara,3,0,5
15FA,Cello,Eppinga Alicia A.,2,5,12
15FA,Cello,Eppinga Alicia A.,2,2,10
15FA,Cello,Eppinga Alicia A.,3,0,5
15FA,String Bass,Straus Melissa M.,2,2,12
15FA,String Bass,Straus Melissa M.,2,0,10
15FA,String Bass,Straus Melissa M.,3,0,5
15FA,Contemporary and Jazz Bass,Hoats Charles D.,2,1,12
15FA,Contemporary and Jazz Bass,Hoats Charles D.,2,0,10
15FA,Contemporary and Jazz Bass,Hoats Charles D.,3,2,5
15FA,Organ,Lewis Huw R.,2,4,12
15FA,Organ,Lewis Huw R.,2,1,10
15FA,Organ,Lewis Huw R.,3,4,5
15FA,Jazz Organ,Monaco Anthony G.,2,2,12
15FA,Jazz Organ,Monaco Anthony G.,2,0,10
15FA,Jazz Organ,Monaco Anthony G.,3,0,5
15FA,Piano,Le Andrew C.,2,1,10
15FA,Piano,Le Andrew C.,2,0,10
15FA,Piano,Le Andrew C.,3,8,10
15FA,Piano,Aschbrenner Charles,2,3,10
15FA,Piano,Aschbrenner Charles,3,0,10
15FA,Piano,Kolean Lora L.,2,9,10
15FA,Piano,Kolean Lora L.,2,0,10
15FA,Piano,Kolean Lora L.,3,0,10
15FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,10,10
15FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,0,10
15FA,Contemporary and Jazz Piano,Talaga Stephen C.,3,0,10
15FA,Guitar,Martin David J.,2,18,25
15FA,Guitar,Martin David J.,2,0,5
15FA,Guitar,Martin David J.,3,1,5
15FA,Banjo,Roberts Nathaniel J.,2,2,15
15FA,Banjo,Roberts Nathaniel J.,2,0,15
15FA,Banjo,Roberts Nathaniel J.,3,0,15
15FA,Banjo,Roberts Nathaniel J.,3,0,15
15FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,18,30
15FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,0,15
15FA,Contemporary and Jazz Guitar,Hyde Michael R.,3,2,15
15FA,Mandolin,Roberts Nathaniel J.,2,3,15
15FA,Mandolin,Roberts Nathaniel J.,2,0,15
15FA,Mandolin,Roberts Nathaniel J.,3,1,5
15FA,Voice,Kim JungWoo,2,5,20
15FA,Voice,Kim JungWoo,2,6,10
15FA,Voice,Kim JungWoo,3,1,20
15FA,Voice,Dykstra Linda L.,2,10,20
15FA,Voice,Dykstra Linda L.,2,1,10
15FA,Voice,Dykstra Linda L.,3,8,20
15FA,Voice,Richmond Brad W.,2,2,20
15FA,Voice,Richmond Brad W.,2,1,10
15FA,Voice,Richmond Brad W.,3,0,10
15FA,Voice,Pilon Sherri L.,2,3,20
15FA,Voice,Pilon Sherri L.,2,0,10
15FA,Voice,Pilon Sherri L.,3,0,20
15FA,Contemporary and Jazz Voice,Hyde Edith E.,2,6,12
15FA,Contemporary and Jazz Voice,Hyde Edith E.,2,0,5
15FA,Contemporary and Jazz Voice,Hyde Edith E.,3,1,5
15FA,Classical Guitar Class Begin,Martin David J.,2,3,14
15FA,Folk Style Guitar Methods,Martin David J.,2,4,14
15FA,Applied Composition,Talaga Stephen C.,2,1,6
15FA,Applied Composition,Talaga Stephen C.,3,0,6
15FA,Applied Computer Music,Munch Jean-Yves,2,0,6
15FA,Applied Computer Music,Elliot Drew I.,3,2,6
15FA,Applied Computer Music,Elliot Drew I.,2,5,6
15FA,Piano Class Beginning,Kolean Lora L.,2,13,14
15FA,Piano Class Beginning,Kolean Lora L.,2,12,14
15FA,Piano Class Beginning,Kolean Lora L.,2,14,14
15FA,Piano Class Beginning,Kolean Lora L.,2,9,14
15FA,Voice Class Beginning,Dykstra Linda L.,2,5,12
15FA,Voice Class Intermediate,Pilon Sherri L.,2,5,12
15FA,Keyboard Skills IA,Strouf Linda K.,1,7,14
15FA,Keyboard Skills IA,Strouf Linda K.,1,6,14
15FA,Eurhythmics I,Aschbrenner Charles,.5,9,20
15FA,Theory III,Hodson Robert D.,4,19,15
15FA,Aural Skills III,Wolfe Jennifer A.,1,14,15
15FA,Keyboard Skills - Intermediate,Strouf Linda K.,1,4,14
15FA,Elementary Music Methods,Hornbach Christina M.,4,3,15
15FA,Hist & Literature of the Opera,Randel Julia,4,6,20
15FA,Organ Literature,Lewis Huw R.,2,1,10
15FA,Piano Literature I,Le Andrew C.,1,2,10
15FA,Violin/Viola Pedagogy Lit,Craioveanu Mihai D.,3,1,5
15FA,Orchestration,Southard Robert G.,3,9,15
15FA,Conducting Techniques,Richmond Brad W.,2,5,15
15FA,Percussion Methods,Secor Gregory,1,7,10
15FA,Voice Literature,Kim JungWoo,2,1,10
15FA,Advanced Choral Conducting,Staff,2,0,12
15FA,Jazz Theory & Improvisation I,Talaga Stephen C.,3,3,15
15FA,Jazz Composition & Arranging I,Talaga Stephen C.,3,2,15
15FA,Recording Arts & Techniques,Elliot Drew I.,2,9,10
15FA,Sec Instrumental Meth & Admin,Fashun Christopher H.,4,4,10
15FA,Keyboard Skills for Piano,Strouf Linda K.,1,2,14
15FA,Keyboard Skills for Organ,Lewis Huw R.,1,1,10
15FA,Independent Study,Munch Jean-Yves,4,1,5
15FA,Independent Study,Elliot Drew I.,4,2,5
15FA,Independent Study,Erskine John K.,4,0,5
15FA,Independent Study,Southard Robert G.,  1-4,1,5
15FA,Independent Study,Hornbach Christina M.,  1-4,1,5
15FA,Independent Study,Richmond Brad W.,  1-4,1,5
15FA,Seminar in Music,Randel Julia,2,7,14
15FA,Jazz Styles & Analysis,Hodson Robert D.,2,3,10
18SP,Pending Audition - Piano,Le Andrew C.,  1-3,0,50
18SP,Pending Audition - Voice,Kim JungWoo,  1-3,0,50
18SP,Concert Attendance,Southard Robert G.,0,71,150
18SP,Introduction to Music,Craioveanu Mihai D.,4,21,35
18SP,Introduction to Music,Payne Alyson M.,4,17,35
18SP,Introduction to Music,Southard Sarah,4,35,35
18SP,Perspectives in Music,Hornbach Christina M.,4,15,24
18SP,World Music,Fashun Christopher H.,4,34,35
18SP,World Music,Sooy Julie A.,4,20,35
18SP,Survey of American Music,Coyle Brian R.,4,37,35
18SP,Survey of American Music,Talaga Stephen C.,4,36,35
18SP,Theory II,Hodson Robert D.,4,17,15
18SP,Theory II,Hodson Robert D.,4,15,15
18SP,Aural Skills II,Wolfe Jennifer A.,1,16,15
18SP,Aural Skills II,Wolfe Jennifer A.,1,10,15
18SP,Aural Skills II,Sooy Julie A.,1,10,15
18SP,Chapel Choir,Richmond Brad W.,1,16,70
18SP,Chapel Choir,Richmond Brad W.,0,29,70
18SP,College Chorus,Richmond Brad W.,1,9,100
18SP,College Chorus,Richmond Brad W.,0,5,100
18SP,Women's Chorus,Wolfe Jennifer A.,1,9,30
18SP,Women's Chorus,Wolfe Jennifer A.,0,17,30
18SP,Orchestra,Fashun Christopher H.,1,16,65
18SP,Orchestra,Fashun Christopher H.,0,35,100
18SP,Wind Ensemble,Southard Robert G.,1,16,60
18SP,Wind Ensemble,Southard Robert G.,0,22,50
18SP,Concert Band,Southard Robert G.,1,2,30
18SP,Concert Band,Southard Robert G.,0,8,30
18SP,Jazz Arts Collective,Coyle Brian R.,1,4,10
18SP,Jazz Arts Collective,Coyle Brian R.,0,7,10
18SP,Opera Workshop,Kim JungWoo,1,3,15
18SP,Opera Workshop,Kim JungWoo,0,7,10
18SP,Jazz Chamber Ensemble I,Coyle Brian R.,.5,2,4
18SP,Jazz Chamber Ensemble I,Coyle Brian R.,0,3,4
18SP,Jazz Chamber Ensemble II,Roberts Nathaniel J.,.5,3,4
18SP,Jazz Chamber Ensemble II,Roberts Nathaniel J.,0,3,4
18SP,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,3,4
18SP,Jazz Chamber Ensemble III,Talaga Stephen C.,0,3,4
18SP,Jazz Chamber Ensemble IV,Shoup Jeffrey A.,.5,2,4
18SP,Jazz Chamber Ensemble IV,Shoup Jeffrey A.,0,2,4
18SP,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,2,4
18SP,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,1,4
18SP,Chamber Music,Coyle Brian R.,.5,2,4
18SP,Chamber Music,Coyle Brian R.,0,2,10
18SP,Jazz Organ Combo,Monaco Anthony G.,.5,0,10
18SP,Jazz Organ Combo,Monaco Anthony G.,0,0,10
18SP,Flute Choir,Sooy Julie A.,.5,1,12
18SP,Flute Choir,Sooy Julie A.,0,4,12
18SP,String Chamber Music,Craioveanu Mihai D.,.5,1,4
18SP,String Chamber Music,Craioveanu Mihai D.,0,3,10
18SP,Saxophone Quartet,Briggs John A.,.5,1,10
18SP,Saxophone Quartet,Briggs John A.,0,3,10
18SP,Brazilian Drumming,Fashun Christopher H.,.5,7,10
18SP,Brazilian Drumming,Fashun Christopher H.,0,8,16
18SP,12th Street Harmony,Richmond Brad W.,.5,2,10
18SP,12th Street Harmony,Richmond Brad W.,0,3,10
18SP,Luminescence,Richmond Brad W.,.5,1,10
18SP,Luminescence,Richmond Brad W.,0,7,10
18SP,Chamber Ensemble,Le Andrew C.,.5,2,10
18SP,Chamber Ensemble,Le Andrew C.,0,0,10
18SP,Harp Ensemble,Waldvogel-Warren Martha,.5,1,4
18SP,Harp Ensemble,Waldvogel-Warren Martha,0,1,4
18SP,Woodwind Quintet,Southard Sarah,.5,2,4
18SP,Woodwind Quintet,Southard Sarah,0,3,5
18SP,Brass Quintet,Graham Adam E.,.5,1,4
18SP,Brass Quintet,Graham Adam E.,0,4,4
18SP,Folk Mus Ensmble I:Appalachian,Roberts Nathaniel J.,.5,4,10
18SP,Folk Mus Ensmble I:Appalachian,Roberts Nathaniel J.,0,4,10
18SP,Folk Music Ensemble II: Celtic,Roberts Nathaniel J.,.5,3,10
18SP,Folk Music Ensemble II: Celtic,Roberts Nathaniel J.,0,4,10
18SP,Folk Ensemble III,Roberts Nathaniel J.,.5,3,10
18SP,Folk Ensemble III,Roberts Nathaniel J.,0,5,10
18SP,Collaborative Voice,Staff,.5,0,0
18SP,Collaborative Voice,Staff,0,0,0
18SP,Guitar Ensemble,Martin David J.,.5,0,10
18SP,Guitar Ensemble,Martin David J.,0,5,10
18SP,Woodwind Chamber Ensemble,Southard Robert G.,.5,2,5
18SP,Woodwind Chamber Ensemble,Southard Robert G.,0,3,5
18SP,Drum Choir,Shoup Jeffrey A.,.5,0,10
18SP,Drum Choir,Shoup Jeffrey A.,0,0,10
18SP,Flute,Southard Robert G.,1,5,12
18SP,Flute,Southard Robert G.,2,2,10
18SP,Flute,Southard Robert G.,3,1,15
18SP,Flute,Sooy Julie A.,1,1,12
18SP,Oboe,Southard Sarah,1,2,12
18SP,Oboe,Southard Sarah,2,0,10
18SP,Oboe,Southard Sarah,3,0,5
