"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","031","81029",0,"","TBA","","","","","","","","TBA",4,3,1,0,"Talaga, Stephen C.",08/31-12/10,16
"CLOSED","Jazz Chamber Ensemble IV","MUS","160","04","81030",.5,FA2,"TBA","","","","","","","","TBA",4,4,0,0,"Van Lente, Michael J.",08/31-12/10,16
"COMPLETED","Jazz Chamber Ensemble IV","MUS","160","041","81031",0,"","TBA","","","","","","","","TBA",4,1,3,0,"Van Lente, Michael J.",08/31-12/10,16
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","05","81032",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Lockwood, Thomas E.",08/31-12/10,16
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","051","81033",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Lockwood, Thomas E.",08/31-12/10,16
"COMPLETED","Flute Choir","MUS","160","06","81034",.5,FA2," ","T"," "," "," "," "," ","1030-1150","NYKERK 116",12,3,9,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Flute Choir","MUS","160","061","81035",0,""," ","T"," "," "," "," "," ","1030-1150","NYKERK 116",12,4,8,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Percussion Ensemble","MUS","160","07","81036",.5,FA2,"TBA","","","","","","","","TBA",6,0,6,0,"Secor, Gregory",08/31-12/10,16
"COMPLETED","Percussion Ensemble","MUS","160","071","81037",0,"","TBA","","","","","","","","TBA",6,3,3,0,"Secor, Gregory",08/31-12/10,16
"COMPLETED","Chamber Music","MUS","160","08","81038",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Piippo, Richard G.",08/31-12/10,16
"CLOSED","Chamber Music","MUS","160","081","81039",0,"","TBA","","","","","","","","TBA",4,4,0,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","Chamber Music","MUS","160","09","81040",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Craioveanu, Mihai D.",08/31-12/10,16
"COMPLETED","Chamber Music","MUS","160","091","81041",0,"","TBA","","","","","","","","TBA",4,3,1,0,"Craioveanu, Mihai D.",08/31-12/10,16
"COMPLETED","Chamber Music","MUS","160","10","81042",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Le, Andrew C.",08/31-12/10,16
"CLOSED","Chamber Music","MUS","160","101","81043",0,"","TBA","","","","","","","","TBA",4,6,-2,0,"Le, Andrew C.",08/31-12/10,16
"COMPLETED","Brass Ensemble","MUS","160","11","81044",.5,FA2,"TBA","","","","","","","","TBA",5,2,3,0,"Puccini, Dorival",08/31-12/10,16
"CLOSED","Brass Ensemble","MUS","160","111","81045",0,"","TBA","","","","","","","","TBA",5,7,-2,0,"Puccini, Dorival",08/31-12/10,16
"COMPLETED","12th Street Harmony","MUS","160","12","81046",.5,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","12th Street Harmony","MUS","160","121","81047",0,"","TBA","","","","","","","","TBA",12,4,8,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","Luminescence","MUS","160","13","81048",.5,FA2,"TBA","","","","","","","","TBA",12,2,10,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","Luminescence","MUS","160","131","81049",0,"","TBA","","","","","","","","TBA",12,7,5,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","Saxophone Quartet","MUS","160","14","81056",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Schekman, Joel W.",08/31-12/10,16
"CLOSED","Saxophone Quartet","MUS","160","141","81057",0,"","TBA","","","","","","","","TBA",4,4,0,0,"Schekman, Joel W.",08/31-12/10,16
"COMPLETED","Woodwind Quintet","MUS","160","15","81336",.5,FA2,"TBA","","","","","","","","TBA",5,1,4,0,"Southard, Robert G.",08/31-12/10,16
"COMPLETED","Woodwind Quintet","MUS","160","151","81337",0,"","TBA","","","","","","","","TBA",5,2,3,0,"Southard, Robert G.",08/31-12/10,16
"COMPLETED","Piano Ensemble","MUS","160","16","81338",.5,FA2,"TBA","","","","","","","","TBA",5,2,3,0,"Clark, Adam L.",08/31-12/10,16
"COMPLETED","Piano Ensemble","MUS","160","161","81339",0,"","TBA","","","","","","","","TBA",5,4,1,0,"Clark, Adam L.",08/31-12/10,16
"COMPLETED","Flute","MUS","161","01","80048",2,FA2,"TBA","","","","","","","","TBA",12,6,6,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Flute","MUS","161","011","80836",2,"","TBA","","","","","","","","TBA",10,0,10,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Flute","MUS","161","02","80049",3,"","TBA","","","","","","","","TBA",6,1,5,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Oboe","MUS","162","01","80050",2,FA2,"TBA","","","","","","","","TBA",12,3,9,0,"Southard, Sarah",08/31-12/10,16
"COMPLETED","Oboe","MUS","162","011","81492",2,"","TBA","","","","","","","","TBA",10,1,9,0,"Southard, Sarah",08/31-12/10,16
"COMPLETED","Oboe","MUS","162","02","80051",3,"","TBA","","","","","","","","TBA",5,1,4,0,"Southard, Sarah",08/31-12/10,16
"COMPLETED","Clarinet","MUS","163","01","80052",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Schekman, Joel W.",08/31-12/10,16
"COMPLETED","Clarinet","MUS","163","02","80053",3,"","TBA","","","","","","","","TBA",4,1,3,0,"Schekman, Joel W.",08/31-12/10,16
