"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Spring 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"SPRING 2010 (201001)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Saxophone","MUS","164","011","10975",2,"","TBA","","","","","","","","TBA",5,1,4,0,"Lockwood, Thomas E.",01/12-05/07,16
"COMPLETED","Saxophone","MUS","164","02","10059",3,"","TBA","","","","","","","","TBA",8,0,8,0,"Lockwood, Thomas E.",01/12-05/07,16
"COMPLETED","Jazz Saxophone","MUS","164","03","10060",2,FA2,"TBA","","","","","","","","TBA",12,2,10,0,"Lockwood, Thomas E.",01/12-05/07,16
"COMPLETED","Jazz Saxophone","MUS","164","04","10654",3,"","TBA","","","","","","","","TBA",12,1,11,0,"Lockwood, Thomas E.",01/12-05/07,16
"COMPLETED","Bassoon","MUS","165","01","10061",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Clapp, John G.",01/12-05/07,16
"COMPLETED","Bassoon","MUS","165","02","10062",3,"","TBA","","","","","","","","TBA",4,1,3,0,"Clapp, John G.",01/12-05/07,16
"COMPLETED","Horn","MUS","166","01","10063",2,FA2,"TBA","","","","","","","","TBA",12,2,10,0,"Peterson, Erich M.",01/12-05/07,16
"COMPLETED","Horn","MUS","166","02","10064",3,"","TBA","","","","","","","","TBA",4,2,2,0,"Peterson, Erich M.",01/12-05/07,16
"COMPLETED","Trumpet","MUS","167","01","10065",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Puccini, Dorival",01/12-05/07,16
"COMPLETED","Trumpet","MUS","167","011","11228",2,"","TBA","","","","","","","","TBA",10,1,9,0,"Puccini, Dorival",01/12-05/07,16
"COMPLETED","Trumpet","MUS","167","02","10066",3,"","TBA","","","","","","","","TBA",4,1,3,0,"Puccini, Dorival",01/12-05/07,16
"COMPLETED","Jazz Trumpet","MUS","167","03","10067",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Jazz Trumpet","MUS","167","04","10655",3,"","TBA","","","","","","","","TBA",12,0,12,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Trombone","MUS","168","01","10068",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Spencer, Daniel T.",01/12-05/07,16
"COMPLETED","Trombone","MUS","168","02","10069",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Spencer, Daniel T.",01/12-05/07,16
"COMPLETED","Jazz Trombone","MUS","168","03","10070",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Jazz Trombone","MUS","168","04","10656",3,"","TBA","","","","","","","","TBA",12,0,12,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Baritone/Euphonium","MUS","169","01","10071",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Spencer, Daniel T.",01/12-05/07,16
"COMPLETED","Baritone/Euphonium","MUS","169","02","10072",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Spencer, Daniel T.",01/12-05/07,16
"COMPLETED","Tuba","MUS","170","01","10073",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Spencer, Daniel T.",01/12-05/07,16
"COMPLETED","Tuba","MUS","170","02","10074",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Spencer, Daniel T.",01/12-05/07,16
"COMPLETED","Percussion","MUS","171","01","10075",2,FA2,"TBA","","","","","","","","TBA",12,2,10,0,"Secor, Gregory",01/12-05/07,16
"COMPLETED","Percussion","MUS","171","02","10076",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Secor, Gregory",01/12-05/07,16
"CLOSED","Jazz Percussion","MUS","171","03","10077",2,FA2,"TBA","","","","","","","","TBA",12,14,-2,0,"Van Lente, Michael J.",01/12-05/07,16
"COMPLETED","Jazz Percussion","MUS","171","04","10657",3,"","TBA","","","","","","","","TBA",12,0,12,0,"Van Lente, Michael J.",01/12-05/07,16
"COMPLETED","Harp","MUS","172","01","11479",2,"","TBA","","","","","","","","TBA",8,1,7,0,"Waldvogel-Warren, Martha",01/12-05/07,16
"COMPLETED","Harp","MUS","172","02","11480",3,"","TBA","","","","","","","","TBA",2,0,2,0,"Waldvogel-Warren, Martha",01/12-05/07,16
"COMPLETED","Violin","MUS","173","01","10078",2,FA2,"TBA","","","","","","","","TBA",12,4,8,0,"Craioveanu, Mihai D.",01/12-05/07,16
"COMPLETED","Violin","MUS","173","011","10972",2,"","TBA","","","","","","","","TBA",5,0,5,0,"Craioveanu, Mihai D.",01/12-05/07,16
"CLOSED","Violin","MUS","173","02","10518",3,"","TBA","","","","","","","","TBA",10,10,0,0,"Craioveanu, Mihai D.",01/12-05/07,16
"COMPLETED","Viola","MUS","174","01","10079",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Corbato, Barbara",01/12-05/07,16
"COMPLETED","Viola","MUS","174","011","11015",2,"","TBA","","","","","","","","TBA",5,0,5,0,"Corbato, Barbara",01/12-05/07,16
"COMPLETED","Viola","MUS","174","02","10519",3,"","TBA","","","","","","","","TBA",6,3,3,0,"Corbato, Barbara",01/12-05/07,16
"COMPLETED","Cello","MUS","175","01","10080",2,FA2,"TBA","","","","","","","","TBA",12,4,8,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","Cello","MUS","175","011","10976",2,"","TBA","","","","","","","","TBA",5,1,4,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","Cello","MUS","175","02","10081",3,"","TBA","","","","","","","","TBA",6,1,5,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","String Bass","MUS","176","01","11186",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Straus, Melissa M.",01/12-05/07,16
